marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(_),type_2
RENAULT,TWINGO 1.2L 16v (60ch) QUICKSHIFT5,MRE3011FT758,4.0,43.0,A 5,6.4,4.1,4.9,118.0,ES,B,-700,MRE3011F
SMART,SMART FORTWO CABRIOLET (45kW) SOFTIP/SOFTOUCH,MST1005D3328,4.0,45.0,M 6,6.1,4.2,4.9,118.0,ES,B,-700,MST1005D
SMART,SMART FORTWO COUPE (37kW) SOFTIP/SOFTOUCH,MST1001DN320,4.0,37.0,M 6,6.1,4.2,4.9,118.0,ES,B,-700,MST1001D
SMART,SMART FORTWO COUPE (45kW) SOFTIP/SOFTOUCH,MST1001DQ323,4.0,45.0,M 6,6.1,4.2,4.9,118.0,ES,B,-700,MST1001D
SUBARU,JUSTY 1.0S BVM5,MJB1112BS774,4.0,51.0,M 5,6.1,4.4,5.0,118.0,ES,B,-700,MJB1112B
CHEVROLET,MATIZ 0.8,MG11002K1499,4.0,38.0,M 5,6.9,4.2,5.2,119.0,ES,B,-700,MG11002K
FIAT,500 1.2 8v,MFT11211J184,4.0,51.0,M 5,6.4,4.3,5.1,119.0,ES,B,-700,MFT11211
FIAT,500 1.2 8v,MFT11211K185,4.0,51.0,M 5,6.4,4.3,5.1,119.0,ES,B,-700,MFT11211
HYUNDAI,i10 1.1 PACK / PACK Clim,MHY1022ZK502,4.0,48.5,M 5,6.1,4.4,5.0,119.0,ES,B,-700,MHY1022Z
SMART,SMART ROADSTER (45kW),MST1005B0194,4.0,45.0,M 6,6.2,4.3,5.0,119.0,ES,B,-700,MST1005B
OPEL,AGILA 1.0 BVM5,MPL10F4N4373,4.0,48.0,M 5,5.9,4.4,5.0,120.0,ES,B,-700,MPL10F4N
SMART,SMART FORTWO CABRIOLET (45kW) SOFTIP/SOFTOUCH,MST1005D4329,4.0,45.0,M 6,6.1,4.3,5.0,120.0,ES,B,-700,MST1005D
SMART,SMART FORTWO COUPE (37kW) SOFTIP/SOFTOUCH,MST1001DP321,4.0,37.0,M 6,6.1,4.3,5.0,120.0,ES,B,-700,MST1001D
SMART,SMART FORTWO COUPE (45kW) SOFTIP/SOFTOUCH,MST1001DR324,4.0,45.0,M 6,6.1,4.3,5.0,120.0,ES,B,-700,MST1001D
SUZUKI,SPLASH 1L,MJS1004XR802,4.0,48.0,M 5,5.9,4.4,5.0,120.0,ES,B,-700,MJS1004X
SMART,SMART ROADSTER (60kW),MST3105BH195,5.0,60.0,A 6,6.3,4.3,5.1,121.0,ES,C,-200,MST3105B
SMART,SMART ROADSTER COUPE (60kW),MST3105B0189,5.0,60.0,A 6,6.4,4.3,5.1,121.0,ES,C,-200,MST3105B
KIA,PICANTO 1.0,MKA1002RK785,4.0,45.6,M 5,6.1,4.6,5.2,122.0,ES,C,-200,MKA1002R
SMART,SMART FORTWO 1.0L  BVM5,MST1201DW345,5.0,62.0,M 5,6.5,4.3,5.1,122.0,ES,C,-200,MST1201D
SMART,SMART FORTWO 1.0L  BVM5,MST1205D6347,5.0,62.0,M 5,6.5,4.3,5.1,122.0,ES,C,-200,MST1205D
SMART,SMART ROADSTER BRABUS,MST3305BU127,5.0,74.0,A 6,6.4,4.5,5.2,122.0,ES,C,-200,MST3305B
SMART,SMART ROADSTER COUPE (60kW),MST3105B1190,5.0,60.0,A 6,6.5,4.4,5.1,122.0,ES,C,-200,MST3105B
SMART,SMART ROADSTER COUPE BRABUS,MST3305BN120,5.0,74.0,A 6,6.4,4.5,5.2,122.0,ES,C,-200,MST3305B
KIA,PICANTO 1.0,MKA1002RG781,4.0,47.8,M 5,6.4,4.5,5.2,123.0,ES,C,-200,MKA1002R
SMART,SMART FORTWO CABRIOLET BRABUS (55kW),MST1305DH348,5.0,72.0,M 5,6.5,4.4,5.2,124.0,ES,C,-200,MST1305D
SMART,SMART FORTWO COUPE BRABUS (55kW),MST1301D7346,5.0,72.0,M 5,6.5,4.4,5.2,124.0,ES,C,-200,MST1301D
SMART,SMART ROADSTER (60kW),MST3105BJ196,5.0,60.0,A 6,6.5,4.5,5.2,124.0,ES,C,-200,MST3105B
SMART,SMART FORFOUR 1.1L BVA6,MST3104C3290,4.0,55.0,A 6,6.8,4.4,5.3,125.0,ES,C,-200,MST3104C
