marque,modele_version,mine,cnit,carburant,puissance_fiscale,puissance_reelle,bv,urb,ex_urb,mixte,co2,mois_annee
AUDI,A3 1.6L (102ch),MAU13E1GL483,8PLBGUF1FM5AF006R8P60T20GGN,ES,7,75.0,M 5,9.8,5.7,7.2,173.0,Janvier 2006
AUDI,A3 1.6L (102ch) TIPTRONIC,MAU33E1GB471,8PLBGUF1FA69G026R8P60T20GGM,ES,7,75.0,A 6,10.9,5.6,7.6,182.0,Janvier 2006
AUDI,A3 1.6L (102ch) TIPTRONIC,MAU33E1GC472,8PLBGUF1FA69G026R8P60T20GGN,ES,7,75.0,A 6,11.2,5.8,7.8,187.0,Janvier 2006
AUDI,A3 1.6L FSI (115ch),MAU14E1GJ541,8PLBLFF1FM6AG005R8P60T20GGM,ES,7,85.0,M 6,8.8,5.3,6.6,158.0,Janvier 2006
AUDI,A3 1.6L FSI (115ch),MAU14E1GK542,8PLBLFF1FM6AG005R8P60T20GGN,ES,7,85.0,M 6,8.9,5.4,6.7,161.0,Janvier 2006
AUDI,A3 1.9TDI (105ch),MAU53E1G8491,8PLBKCF1FM5A4009R8P60T20GGM,GO,6,77.0,M 5,6.3,4.1,4.9,132.0,Janvier 2006
AUDI,A3 1.9TDI (105ch),MAU53E1GA493,8PLBKCF1FM5A4009R8P60T20GGO,GO,6,77.0,M 5,6.9,4.4,5.3,143.0,Janvier 2006
AUDI,A3 2.0L FSI (150ch),MAU16E1G5561,8PLBLRF1FM62S005R8P60T20GGM,ES,9,110.0,M 6,10.0,5.5,7.2,173.0,Janvier 2006
AUDI,A3 2.0L FSI (150ch),MAU16E1G7563,8PLBLRF1FM62S005R8P60T20GGO,ES,9,110.0,M 6,10.5,5.9,7.6,182.0,Janvier 2006
AUDI,A3 2.0L FSI (150ch) TIPTRONIC,MAU36E1GX551,8PLBLRF1FA69G027R8P60T20GGM,ES,9,110.0,A 6,11.5,6.0,8.0,192.0,Janvier 2006
AUDI,A3 2.0L FSI (150ch) TIPTRONIC,MAU36E1GZ553,8PLBLRF1FA69G027R8P60T20GGO,ES,9,110.0,A 6,11.7,6.2,8.2,197.0,Janvier 2006
AUDI,A3 2.0L TFSI (200ch) DSG,MAU38E1GJ401,8PLAXXF1FD62E016R8P60T20GGN,ES,12,147.0,A 6,10.6,6.0,7.7,185.0,Janvier 2006
AUDI,A3 2.0L TFSI (200ch) DSG,MAU38E1GJ402,8PLAXXF1FD62E016R8P60T20GGO,ES,12,147.0,A 6,10.7,6.1,7.8,187.0,Janvier 2006
AUDI,A3 2.0L TFSI (200ch) QUATTRO,MAU18E1GQ411,8PLAXXF1FM62Q011R8P60T20GGM,ES,12,147.0,M 6,10.8,5.9,7.7,185.0,Janvier 2006
AUDI,A3 2.0L TFSI (200ch) QUATTRO,MAU18E1GS413,8PLAXXF1FM62Q011R8P60T20GGO,ES,12,147.0,M 6,10.9,6.2,7.9,190.0,Janvier 2006
AUDI,A3 2.0TDI (136ch),MAU55C1G9273,8PLAZVF1FM62Q008R8P60T2N,GO,7,100.0,M 6,6.7,4.6,5.4,140.0,Janvier 2006
AUDI,A3 2.0TDI (136ch),MAU55C1GA274,8PLAZVF1FM62Q008R8P60T2O,GO,7,100.0,M 6,6.8,4.7,5.5,142.0,Janvier 2006
AUDI,A3 2.0TDI (140ch),MAU56E1G5521,8PLBKDF1FM62Q008R8P60T20GGN,GO,8,103.0,M 6,7.2,4.6,5.5,148.0,Janvier 2006
AUDI,A3 2.0TDI (140ch),MAU56E1G6522,8PLBKDF1FM62Q008R8P60T20GGO,GO,8,103.0,M 6,7.3,4.7,5.6,150.0,Janvier 2006
AUDI,A3 2.0TDI (140ch) DSG,MAU76E1G2613,8PLBMMF1FD62E014R8P60T27GGN,GO,8,103.0,A 6,7.0,4.6,5.5,149.0,Janvier 2006
AUDI,A3 2.0TDI (140ch) DSG,MAU76E1G4069,8PLBMMF1FD62E014R8P60T2O,GO,8,103.0,A 6,7.5,4.8,5.8,157.0,Janvier 2006
AUDI,A3 2.0TDI (140ch) QUATTRO,MAU66C1GJ536,8PLBKDQ1QM62Q007R8P60T2O,GO,8,103.0,M 6,7.7,4.9,5.9,158.0,Janvier 2006
AUDI,A3 2.0TDI (140ch) QUATTRO,MAU66C1GK537,8PLBKDQ1QM62Q007R8P60T2P,GO,8,103.0,M 6,7.8,5.0,6.0,161.0,Janvier 2006
AUDI,A3 SPORTBACK 1.6L (102ch),MAU13E2G0485,8PLBGUF1FM5AF006R8P60T40GGN,ES,7,75.0,M 5,9.8,5.7,7.2,173.0,Janvier 2006
AUDI,A3 SPORTBACK 1.6L (102ch),MAU13E2GP484,8PLBGUF1FM5AF006R8P60T40GGM,ES,7,75.0,M 5,9.7,5.6,7.1,170.0,Janvier 2006
AUDI,A3 SPORTBACK 1.6L (102ch) TIPTRONIC,MAU33E2GF473,8PLBGUF1FA69G026R8P60T40GGM,ES,7,75.0,A 6,10.9,5.6,7.6,182.0,Janvier 2006
AUDI,A3 SPORTBACK 1.6L (102ch) TIPTRONIC,MAU33E2GH475,8PLBGUF1FA69G026R8P60T40GGO,ES,7,75.0,A 6,11.5,6.0,8.0,192.0,Janvier 2006
AUDI,A3 SPORTBACK 1.6L FSI (115ch),MAU14E2GN543,8PLBLFF1FM6AG005R8P60T40GGM,ES,7,85.0,M 6,8.8,5.3,6.6,158.0,Janvier 2006
AUDI,A3 SPORTBACK 1.6L FSI (115ch),MAU14E2GP544,8PLBLFF1FM6AG005R8P60T40GGN,ES,7,85.0,M 6,8.9,5.4,6.7,161.0,Janvier 2006
AUDI,A3 SPORTBACK 1.9TDI (105ch),MAU53E2GD494,8PLBKCF1FM5A4009R8P60T40GGN,GO,6,77.0,M 5,6.6,4.2,5.1,138.0,Janvier 2006
AUDI,A3 SPORTBACK 1.9TDI (105ch),MAU53E2GE495,8PLBKCF1FM5A4009R8P60T40GGO,GO,6,77.0,M 5,6.9,4.4,5.3,143.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0L FSI (150ch),MAU16E2GA564,8PLBLRF1FM62S005R8P60T40GGM,ES,9,110.0,M 6,10.0,5.5,7.2,173.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0L FSI (150ch),MAU16E2GC566,8PLBLRF1FM62S005R8P60T40GGO,ES,9,110.0,M 6,10.5,5.9,7.6,182.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0L FSI (150ch) TIPTRONIC,MAU36E2G2554,8PLBLRF1FA69G027R8P60T40GGN,ES,9,110.0,A 6,11.6,6.1,8.1,194.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0L FSI (150ch) TIPTRONIC,MAU36E2G3555,8PLBLRF1FA69G027R8P60T40GGO,ES,9,110.0,A 6,11.7,6.2,8.2,197.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0L TFSI (200ch) DSG,MAU38E2GM403,8PLAXXF1FD62E016R8P60T40GGN,ES,12,147.0,A 6,10.6,6.0,7.7,185.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0L TFSI (200ch) DSG,MAU38E2GP405,8PLAXXF1FD62E016R8P60T40GGP,ES,12,147.0,A 6,10.8,6.2,7.9,190.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0L TFSI (200ch) QUATTRO,MAU18E2GV414,8PLAXXF1FM62Q011R8P60T40GGN,ES,12,147.0,M 6,10.9,6.0,7.8,187.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0L TFSI (200ch) QUATTRO,MAU18E2GW415,8PLAXXF1FM62Q011R8P60T40GGO,ES,12,147.0,M 6,10.9,6.2,7.9,190.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0TDI (136ch),MAU55C2GA466,8PLAZVF1FM62Q008R8P60T4N,GO,7,100.0,M 6,6.7,4.6,5.4,140.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0TDI (136ch),MAU55C2GC468,8PLAZVF1FM62Q008R8P60T4P,GO,8,100.0,M 6,6.9,4.8,5.6,145.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0TDI (140ch),MAU56E2G9523,8PLBKDF1FM62Q008R8P60T40GGN,GO,8,103.0,M 6,7.2,4.6,5.5,148.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0TDI (140ch),MAU56E2GB525,8PLBKDF1FM62Q008R8P60T40GGP,GO,8,103.0,M 6,7.4,4.8,5.7,153.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0TDI (140ch) DSG,MAU76E2GB620,8PLBMMF1FD62E014R8P61T47GGN,GO,8,103.0,A 6,7.0,4.6,5.5,149.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0TDI (140ch) DSG,MAU76E2GJ082,8PLBMMF1FD62E018R8P60T4P,GO,8,103.0,A 6,7.7,4.9,5.9,159.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0TDI (140ch) QUATTRO,MAU66C2GN538,8PLBKDQ1QM62Q007R8P60T4O,GO,8,103.0,M 6,7.7,4.9,5.9,158.0,Janvier 2006
AUDI,A3 SPORTBACK 2.0TDI (140ch) QUATTRO,MAU66C2GP540,8PLBKDQ1QM62Q007R8P60T4Q,GO,8,103.0,M 6,7.9,5.2,6.2,166.0,Janvier 2006
AUDI,A3 SPORTBACK V6 3.2L (250ch) QUATTRO,MAU29E2GU605,8PLBMJQ1QM62Q008R8P70T40GGO,ES,17,184.0,M 6,14.8,8.2,10.6,254.0,Janvier 2006
AUDI,A3 SPORTBACK V6 3.2L (250ch) QUATTRO,MAU29E2GW607,8PLBMJQ1QM62Q008R8P70T40GGQ,ES,17,184.0,M 6,15.0,8.4,10.8,259.0,Janvier 2006
AUDI,A3 SPORTBACK V6 3.2L (250ch) QUATTRO DSG,MAU49E2GN596,8PLBMJQ1QD62E024R8P70T40GGP,ES,17,184.0,A 6,13.1,7.6,9.6,230.0,Janvier 2006
AUDI,A3 SPORTBACK V6 3.2L (250ch) QUATTRO DSG,MAU49E2GP597,8PLBMJQ1QD62E024R8P70T40GGQ,ES,17,184.0,A 6,13.2,7.7,9.7,233.0,Janvier 2006
AUDI,A3 V6 3.2L (250ch) QUATTRO,MAU29E1GQ603,8PLBMJQ1QM62Q008R8P70T20GGO,ES,17,184.0,M 6,14.8,8.2,10.6,254.0,Janvier 2006
AUDI,A3 V6 3.2L (250ch) QUATTRO,MAU29E1GR604,8PLBMJQ1QM62Q008R8P70T20GGP,ES,17,184.0,M 6,14.9,8.3,10.7,257.0,Janvier 2006
AUDI,A3 V6 3.2L (250ch) QUATTRO DSG,MAU49E1GJ593,8PLBMJQ1QD62E024R8P70T20GGO,ES,17,184.0,A 6,13.0,7.5,9.5,228.0,Janvier 2006
AUDI,A3 V6 3.2L (250ch) QUATTRO DSG,MAU49E1GK595,8PLBMJQ1QD62E024R8P70T20GGQ,ES,17,184.0,A 6,13.2,7.7,9.7,233.0,Janvier 2006
AUDI,A4 1.6L (102ch),MAU13C2FQ708,8ELALZF1FM52EPR8E500GGM,ES,7,75.0,M 5,10.8,6.0,7.7,185.0,Janvier 2006
AUDI,A4 1.6L (102ch),MAU13C2FS710,8ELALZF1FM52EPR8E500GGO,ES,7,75.0,M 5,11.0,6.2,7.9,190.0,Janvier 2006
AUDI,A4 1.8L T (150ch) MULTITRONIC,MAU97C2F2744,8ELBFBF1FAVJG0R8E600GGN,ES,10,120.0,V 0,11.3,6.4,8.2,197.0,Janvier 2006
AUDI,A4 1.8L T (150ch) MULTITRONIC,MAU97C2F4746,8ELBFBF1FAVJG0R8E600GGP,ES,10,120.0,V 0,11.5,6.6,8.4,202.0,Janvier 2006
AUDI,A4 1.8L T (163ch),MAU17C2F0750,8ELBFBF1FM52EMR8E600GGN,ES,10,120.0,M 5,11.3,6.4,8.2,197.0,Janvier 2006
AUDI,A4 1.8L T (163ch),MAU17C2F1751,8ELBFBF1FM52EMR8E600GGO,ES,10,120.0,M 5,11.4,6.5,8.3,199.0,Janvier 2006
AUDI,A4 1.8L T (163ch) QUATTRO,MAU27C2F5754,8ELBFBQ1QM6XC0R8E600GGO,ES,11,120.0,M 6,12.8,7.1,9.2,221.0,Janvier 2006
AUDI,A4 1.8L T (163ch) QUATTRO,MAU27C2F6755,8ELBFBQ1QM6XC0R8E600GGP,ES,11,120.0,M 6,12.9,7.2,9.3,223.0,Janvier 2006
AUDI,A4 1.9TDI (130ch),MAU54C2F4778,8ELBKEF1FM52FGR8E500GGN,GO,7,85.0,M 5,7.5,4.5,5.6,151.0,Janvier 2006
AUDI,A4 1.9TDI (130ch),MAU54C2F5779,8ELBKEF1FM52FGR8E500GGO,GO,7,85.0,M 5,7.6,4.6,5.7,154.0,Janvier 2006
AUDI,A4 2.0L (130ch),MAU15C2FP704,8ELALTF1FM52EQR8E500GGN,ES,8,96.0,M 5,11.5,6.0,8.0,192.0,Janvier 2006
AUDI,A4 2.0L (130ch),MAU15C2FP705,8ELALTF1FM52EQR8E500GGO,ES,8,96.0,M 5,11.6,6.1,8.2,197.0,Janvier 2006
AUDI,A4 2.0L (130ch) MULTITRONIC,MAU95C2FS700,8ELALTF1FAVJD0R8E500GGN,ES,8,96.0,V 0,10.9,6.2,7.9,190.0,Janvier 2006
AUDI,A4 2.0L (130ch) MULTITRONIC,MAU95C2FT701,8ELALTF1FAVJD0R8E500GGO,ES,8,96.0,V 0,11.0,6.3,8.0,192.0,Janvier 2006
AUDI,A4 2.0L TFSI (200ch),MAU18E2FJ306,8ELBWEF1FM6XE0R8E600GGN,ES,12,147.0,M 6,10.9,5.8,7.7,185.0,Janvier 2006
AUDI,A4 2.0L TFSI (200ch),MAU18E2FL308,8ELBWEF1FM6XE0R8E600GGP,ES,12,147.0,M 6,11.3,6.1,8.0,192.0,Janvier 2006
AUDI,A4 2.0L TFSI (200ch) MULTITRONIC,MAU98E2FN302,8ELBWEF1FAVJ00R8E600GGO,ES,12,147.0,V 0,11.2,6.3,8.1,194.0,Janvier 2006
AUDI,A4 2.0L TFSI (200ch) MULTITRONIC,MAU98E2FP303,8ELBWEF1FAVJ00R8E600GGP,ES,12,147.0,V 0,11.5,6.4,8.3,199.0,Janvier 2006
AUDI,A4 2.0L TFSI (200ch) QUATTRO,MAU28E2FY320,8ELBWEQ1QM6XE0R8E710GGO,ES,13,147.0,M 6,12.6,6.6,8.8,211.0,Janvier 2006
AUDI,A4 2.0L TFSI (200ch) QUATTRO,MAU28E2FZ321,8ELBWEQ1QM6XE0R8E710GGP,ES,13,147.0,M 6,12.8,6.8,9.0,216.0,Janvier 2006
AUDI,A4 2.0L TFSI (200ch) QUATTRO TIPTRONIC,MAU48E2FS312,8ELBWEQ1QA6LC0R8E600GGO,ES,13,147.0,A 6,13.1,7.2,9.4,226.0,Janvier 2006
AUDI,A4 2.0L TFSI (200ch) QUATTRO TIPTRONIC,MAU48E2FU314,8ELBWEQ1QA6LC0R8E600GGQ,ES,13,147.0,A 6,13.7,7.4,9.7,233.0,Janvier 2006
AUDI,A4 2.0TDI (140ch),MAU56E2FK208,8ELBREF1FM6XA0R8E500GGN,GO,8,103.0,M 6,8.0,4.7,5.9,158.0,Janvier 2006
AUDI,A4 2.0TDI (140ch),MAU56E2FM210,8ELBREF1FM6XA0R8E500GGP,GO,8,103.0,M 6,8.2,4.9,6.1,164.0,Janvier 2006
AUDI,A4 2.0TDI (140ch) DPF,MAU56D2FP056,8ELBPWF1FM6XA0R8E707GGP,GO,8,103.0,M 6,8.4,5.4,6.5,175.0,Janvier 2006
AUDI,A4 2.0TDI (140ch) DPF,MAU56D2FX901,8ELBPWF1FM6XA0R8E507GGN,GO,8,103.0,M 6,7.9,4.8,5.9,158.0,Janvier 2006
