marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie
AUDI,A4 2.0TDI (140ch),MAU56G2FK145,8,103.0,M 6,7.8,4.5,5.7,153,GO,D
AUDI,A4 2.0TDI (140ch) FAP,MAU56G2F0161,8,103.0,M 6,8.0,4.8,6.0,159,GO,D
AUDI,A4 2.0TDI (140ch) FAP,MAU56G2FZ160,8,103.0,M 6,8.0,4.8,6.0,159,GO,D
AUDI,A4 2.0TDI (140ch) FAP MULTITRONIC,MAU96G2F1158,8,103.0,V 0,7.6,5.3,6.1,165,GO,E
AUDI,A4 2.0TDI (140ch) FAP MULTITRONIC,MAU96G2F2159,8,103.0,V 0,7.6,5.3,6.1,165,GO,E
AUDI,A4 2.0TDI (140ch) MULTITRONIC,MAU96G2FL142,8,103.0,V 0,8.0,5.2,6.2,167,GO,E
AUDI,A4 2.0TDI (140ch) MULTITRONIC,MAU96G2FM143,8,103.0,V 0,8.0,5.2,6.2,167,GO,E
AUDI,A4 2.0TDI (140ch) QUATTRO FAP,MAU66G2F2162,8,103.0,M 6,8.6,5.5,6.6,176,GO,E
AUDI,A4 2.0TDI (140ch) QUATTRO FAP,MAU66G2F3163,8,103.0,M 6,8.6,5.5,6.6,176,GO,E
AUDI,A4 2.0TDI (170ch) FAP,MAU57G2FE174,10,125.0,M 6,7.9,4.6,5.8,154,GO,D
AUDI,A4 2.0TDI (170ch) FAP,MAU57G2FF175,10,125.0,M 6,7.9,4.6,5.8,154,GO,D
AUDI,A4 2.0TDI (170ch) QUATTRO FAP,MAU67G2FH176,10,125.0,M 6,9.2,5.3,6.7,177,GO,E
AUDI,A4 2.0TDI (170ch) QUATTRO FAP,MAU67G2FJ177,10,125.0,M 6,9.2,5.3,6.7,177,GO,E
AUDI,A4 3.0TDI (233ch) QUATTRO TIPTRONIC,MAU89G2F2096,15,171.0,A 6,11.6,6.2,8.2,219,GO,F
