marque,modele_version,cnit,mine,energie,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,immat
AUDI,A2 1.4TDI (75ch),MAU51A2QJ179,8ZLAMFF1FM52J064R8Z50S5K,GO,4,55.0,M 5,5.6,3.5,4.3,116.0,2003-03-01
AUDI,A2 1.4TDI (75ch),MAU51A2QJ180,8ZLAMFF1FM52J064R8Z50S5L,GO,4,55.0,M 5,5.7,3.6,4.4,119.0,2003-03-01
AUDI,A2 1.6L FSI,MAU14A2QV193,8ZLBADF1FM52T008R8Z50S4K,ES,6,81.0,M 5,8.1,4.7,5.9,142.0,2003-03-01
AUDI,A3 3P 1.6L (102ch),MAU1381G9857,8LLAVUF1FM52K028R8L60T2L,ES,6,75.0,M 5,9.8,5.4,7.0,168.0,2003-03-01
AUDI,A3 3P 1.6L (102ch),MAU1381GA858,8LLAVUF1FM52K028R8L60T2M,ES,7,75.0,M 5,9.9,5.5,7.1,170.0,2003-03-01
AUDI,A3 3P 1.6L (102ch) BVA,MAU3381GY840,8LLAVUF1FA41M034R8L60T2L,ES,7,75.0,A 4,11.2,6.2,8.0,192.0,2003-03-01
AUDI,A3 3P 1.6L (102ch) BVA,MAU3381GZ841,8LLAVUF1FA41M034R8L60T2M,ES,7,75.0,A 4,11.4,6.3,8.1,194.0,2003-03-01
AUDI,A3 3P 1.6L (102ch) BVA,MAU33A1GK121,8LLBFQF1FA41M034R8L60T2L,ES,7,75.0,A 4,11.2,6.2,8.0,192.0,2003-03-01
AUDI,A3 3P 1.8L (125ch),MAU1581GP464,8LLAPGF1FM52J003R8L60T2L,ES,8,92.0,M 5,10.6,6.2,7.8,187.0,2003-03-01
AUDI,A3 3P 1.8L (125ch),MAU1581GP465,8LLAPGF1FM52J003R8L60T2M,ES,8,92.0,M 5,10.7,6.3,7.9,190.0,2003-03-01
AUDI,A3 3P 1.8L (125ch) BVA,MAU3581G7441,8LLAPGF1FA41M028R8L60T2M,ES,8,92.0,A 4,12.0,6.9,8.8,211.0,2003-03-01
AUDI,A3 3P 1.8T (150ch),MAU1681GV777,8LLAUMF1FM52J013R8L60T2M,ES,9,110.0,M 5,10.7,6.2,7.9,190.0,2003-03-01
AUDI,A3 3P 1.8T (150ch) BVA,MAU3681G2753,8LLAUMF1FA41M037R8L60T2M,ES,10,110.0,A 4,12.8,6.9,9.0,216.0,2003-03-01
AUDI,A3 3P 1.8T (180ch),MAU1881GJ817,8LLAUQF1FM52J032R8L61T2M,ES,11,132.0,M 5,10.7,6.3,7.9,190.0,2003-03-01
AUDI,A3 3P 1.8T (180ch) QUATTRO BV6,MAU2881G8609,8LLARYQ1QM62M005R8L61T2N,ES,12,132.0,M 6,13.0,7.5,9.4,226.0,2003-03-01
AUDI,A3 3P 1.8T (180ch) QUATTRO BV6,MAU2881G9610,8LLARYQ1QM62M005R8L61T2O,ES,12,132.0,M 6,13.1,7.6,9.5,228.0,2003-03-01
AUDI,A3 3P 1.8T (180ch) TIPTRONIC,MAU3881GJ800,8LLAUQF1FA59A015R8L61T2M,ES,12,132.0,A 5,13.0,6.7,9.0,216.0,2003-03-01
AUDI,A3 3P 1.8T (180ch) TIPTRONIC,MAU3881GK801,8LLAUQF1FA59A015R8L61T2N,ES,12,132.0,A 5,13.1,6.9,9.1,218.0,2003-03-01
AUDI,A3 3P 1.9TDI (101ch),MAU5381G3936,8LLATDF1FM52J060R8L60T2L,GO,6,74.0,M 5,6.5,4.2,5.0,135.0,2003-03-01
AUDI,A3 3P 1.9TDI (101ch),MAU5381G4937,8LLATDF1FM52J060R8L60T2M,GO,6,74.0,M 5,6.6,4.3,5.1,138.0,2003-03-01
AUDI,A3 3P 1.9TDI (101ch),MAU5391GV988,8LLAXRF1FM52J060R8L60T2L,GO,6,74.0,M 5,6.5,4.2,5.0,135.0,2003-03-01
AUDI,A3 3P 1.9TDI (130ch) BV6,MAU5581GM705,8LLASZF1FM62M001R8L60T2M,GO,7,96.0,M 6,7.0,4.3,5.2,140.0,2003-03-01
AUDI,A3 3P 1.9TDI (130ch) BV6,MAU5581GN706,8LLASZF1FM62M001R8L60T2N,GO,7,96.0,M 6,7.1,4.5,5.4,146.0,2003-03-01
AUDI,A3 3P 1.9TDI (130ch) QUATTRO BV6,MAU6581GD729,8LLASZQ1QM62M003R8L60T2N,GO,8,96.0,M 6,8.0,5.1,6.2,167.0,2003-03-01
AUDI,A3 3P 1.9TDI (130ch) QUATTRO BV6,MAU6581GE730,8LLASZQ1QM62M003R8L60T2O,GO,8,96.0,M 6,8.1,5.2,6.3,170.0,2003-03-01
AUDI,A3 3P 1.9TDI (130ch) TIPTRONIC,MAU7581GX904,8LLASZF1FA59A014R8L60T2M,GO,8,96.0,A 5,9.0,5.0,6.5,176.0,2003-03-01
AUDI,A3 3P 1.9TDI (130ch) TIPTRONIC,MAU7581GY905,8LLASZF1FA59A014R8L60T2N,GO,8,96.0,A 5,9.1,5.1,6.5,178.0,2003-03-01
AUDI,A3 5P 1.6L (102ch),MAU1382GE860,8LLAVUF1FM52K028R8L60T4L,ES,6,75.0,M 5,9.8,5.4,7.0,168.0,2003-03-01
AUDI,A3 5P 1.6L (102ch),MAU1382GF861,8LLAVUF1FM52K028R8L60T4M,ES,7,75.0,M 5,9.9,5.5,7.1,170.0,2003-03-01
AUDI,A3 5P 1.6L (102ch) BVA,MAU3382G3843,8LLAVUF1FA41M034R8L60T4M,ES,7,75.0,A 4,11.4,6.3,8.1,194.0,2003-03-01
AUDI,A3 5P 1.8L (125ch),MAU1582GT467,8LLAPGF1FM52J003R8L60T4M,ES,8,92.0,M 5,10.7,6.3,7.9,190.0,2003-03-01
AUDI,A3 5P 1.8L (125ch) BVA,MAU3582GC444,8LLAPGF1FA41M028R8L60T4M,ES,8,92.0,A 4,12.0,6.9,8.8,211.0,2003-03-01
AUDI,A3 5P 1.8T (150ch),MAU1682G0780,8LLAUMF1FM52J013R8L60T4M,ES,9,110.0,M 5,10.7,6.2,7.9,190.0,2003-03-01
AUDI,A3 5P 1.8T (150ch) BVA,MAU3682G7756,8LLAUMF1FA41M037R8L60T4M,ES,10,110.0,A 4,12.8,6.9,9.0,216.0,2003-03-01
AUDI,A3 5P 1.8T (150ch) BVA,MAU3682G8757,8LLAUMF1FA41M037R8L60T4N,ES,10,110.0,A 4,12.9,7.0,9.1,218.0,2003-03-01
AUDI,A3 5P 1.8T (180ch),MAU1882GP820,8LLAUQF1FM52J032R8L61T4M,ES,11,132.0,M 5,10.7,6.3,7.9,190.0,2003-03-01
AUDI,A3 5P 1.8T (180ch) QUATTRO BV6,MAU2882GC611,8LLARYQ1QM62M005R8L61T4M,ES,12,132.0,M 6,12.9,7.4,9.3,223.0,2003-03-01
AUDI,A3 5P 1.8T (180ch) QUATTRO BV6,MAU2882GD612,8LLARYQ1QM62M005R8L61T4N,ES,12,132.0,M 6,13.0,7.5,9.4,226.0,2003-03-01
AUDI,A3 5P 1.8T (180ch) QUATTRO BV6,MAU2882GE613,8LLARYQ1QM62M005R8L61T4O,ES,12,132.0,M 6,13.1,7.6,9.5,228.0,2003-03-01
AUDI,A3 5P 1.8T (180ch) TIPTRONIC,MAU3882GN802,8LLAUQF1FA59A015R8L61T4M,ES,12,132.0,A 5,13.0,6.7,9.0,216.0,2003-03-01
AUDI,A3 5P 1.8T (180ch) TIPTRONIC,MAU3882GP803,8LLAUQF1FA59A015R8L61T4N,ES,12,132.0,A 5,13.1,6.9,9.1,218.0,2003-03-01
AUDI,A3 5P 1.9TDI (101ch),MAU5382G9940,8LLATDF1FM52J060R8L60T4M,GO,6,74.0,M 5,6.6,4.3,5.1,138.0,2003-03-01
AUDI,A3 5P 1.9TDI (130ch) BV6,MAU5582GR708,8LLASZF1FM62M001R8L60T4M,GO,7,96.0,M 6,7.0,4.3,5.2,140.0,2003-03-01
AUDI,A3 5P 1.9TDI (130ch) BV6,MAU5582GS709,8LLASZF1FM62M001R8L60T4N,GO,7,96.0,M 6,7.1,4.5,5.4,146.0,2003-03-01
AUDI,A3 5P 1.9TDI (130ch) QUATTRO BV6,MAU6582GJ733,8LLASZQ1QM62M003R8L60T4O,GO,8,96.0,M 6,8.1,5.2,6.3,170.0,2003-03-01
AUDI,A3 5P 1.9TDI (130ch) TIPTRONIC,MAU7582G2907,8LLASZF1FA59A014R8L60T4N,GO,8,96.0,A 5,9.1,5.1,6.5,178.0,2003-03-01
AUDI,A4 1.6L,MAU1394FL791,8EAALZF1FM52EPR8E50N,ES,7,75.0,M 5,10.9,6.1,7.8,187.0,2003-03-01
